qaSessionId,eventTimestampUtc,eventTimestampShanghai,eventType,activityState,appState,providerSource,sampleSource,rawOrdinal,nativeTimestampUtc,rawInterArrivalMs,acceptedInterArrivalMs,callbackDelayMs,horizontalAccuracyM,verticalAccuracyM,speedValid,speedMps,courseValid,decision,decisionReason,decisionLatencyMs,dtFromTrustedMs,displacementFromTrustedM,impliedSpeedMps,accuracyAdjustedSpeedMps,trajectoryInnovationM,headingDeltaDeg,motionState,candidateId,segmentSuffix,journalLatencyMs,commitToStoreMs,mapSourceRequestUtc,callbackToMapRequestMs,nativeToMapRequestMs,routePointCount,latestAcceptedAgeMs,notes
qa-mtvixnmb-iim3w848,2026-09-10T12:53:50.104Z,2026-09-10T20:53:50.104+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,55,2026-09-10T12:53:50.001Z,5000,5000,103,14.25,12.01,true,0.88,true,ACCEPT,coherent-motion,0,5000,5.51,1.1,0,2.31,23.64,moving,,514fdef5,31,0,2026-09-10T12:53:50.140Z,36,139,46,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:02.100Z,2026-09-10T20:54:02.100+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,56,2026-09-10T12:54:02.001Z,12000,12000,99,14.25,12.71,true,0.51,true,ACCEPT,coherent-motion,0,12000,5.38,0.45,0,13.3,79.28,moving,,514fdef5,,,2026-09-10T12:54:02.142Z,42,141,47,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:06.101Z,2026-09-10T20:54:06.101+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,57,2026-09-10T12:54:06.002Z,4001,4001,99,14.25,14.71,true,1.34,true,ACCEPT,coherent-motion,0,4001,6.41,1.6,0,5.17,40.09,moving,,514fdef5,,,2026-09-10T12:54:06.144Z,43,142,48,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:10.094Z,2026-09-10T20:54:10.094+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,58,2026-09-10T12:54:10.002Z,4000,4000,92,14.25,16.73,true,1.11,true,ACCEPT,coherent-motion,0,4000,5.27,1.32,0,2.54,22.62,moving,,514fdef5,,,2026-09-10T12:54:10.133Z,39,131,49,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:12.925Z,2026-09-10T20:54:12.925+08:00,activity_telemetry_health_v2,tracking,active,real,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2923,"{""reason"":""periodic-60s"",""expectedRawOrdinalHighWatermark"":58,""retainedObservationDeficit"":0,""retainedDecisionDeficit"":0,""rawPointCount"":58,""canonicalPointCount"":49,""pendingCandidate"":false,""latestAcceptedAgeMs"":2923,""backgroundTaskActive"":false,""appState"":""active"",""retainedEventCount"":318,""retainedBytes"":267080,""retainedCriticalCount"":60,""retainedObservationCount"":58,""retainedDecisionCount"":58,""uploadCount"":6,""consecutiveUploadFailures"":0,""lastUploadAt"":1789044808686}"
qa-mtvixnmb-iim3w848,2026-09-10T12:54:16.094Z,2026-09-10T20:54:16.094+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,59,2026-09-10T12:54:16.001Z,5999,5999,93,14.25,14.71,true,0.95,true,ACCEPT,coherent-motion,0,5999,6.35,1.06,0,3.4,24.66,moving,,514fdef5,,,2026-09-10T12:54:16.129Z,35,128,50,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:20.092Z,2026-09-10T20:54:20.092+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,60,2026-09-10T12:54:20.001Z,4000,4000,91,14.25,14.67,true,1.13,true,ACCEPT,coherent-motion,0,4000,5.23,1.31,0,1.74,17.41,moving,,514fdef5,36,0,2026-09-10T12:54:20.135Z,43,134,51,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:30.097Z,2026-09-10T20:54:30.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,61,2026-09-10T12:54:30.000Z,9999,9999,97,14.25,13.26,true,0.26,true,ACCEPT,coherent-motion,0,9999,5.78,0.58,0,11.29,59.5,moving,,514fdef5,,,2026-09-10T12:54:30.147Z,50,147,52,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:34.099Z,2026-09-10T20:54:34.099+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,62,2026-09-10T12:54:34.000Z,4000,4000,99,14.25,12.84,true,1.09,true,ACCEPT,coherent-motion,0,4000,5.37,1.34,0,3.89,39.73,moving,,514fdef5,,,2026-09-10T12:54:34.137Z,38,137,53,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:40.097Z,2026-09-10T20:54:40.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,63,2026-09-10T12:54:40.000Z,6000,6000,97,14.25,13.08,true,0.8,true,ACCEPT,coherent-motion,0,6000,6.71,1.12,0,1.37,2.09,moving,,514fdef5,,,2026-09-10T12:54:40.132Z,35,132,54,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:44.096Z,2026-09-10T20:54:44.096+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,64,2026-09-10T12:54:44.000Z,4000,4000,96,14.25,13.28,true,1.16,true,ACCEPT,coherent-motion,0,4000,5.82,1.45,0,1.36,0.93,moving,,514fdef5,,,2026-09-10T12:54:44.136Z,40,136,55,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:50.101Z,2026-09-10T20:54:50.101+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,65,2026-09-10T12:54:50.000Z,6000,6000,101,14.25,13.47,true,1.04,true,ACCEPT,coherent-motion,1,6000,6.42,1.07,0,3.41,19.41,moving,,514fdef5,,,2026-09-10T12:54:50.139Z,38,139,56,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:54.097Z,2026-09-10T20:54:54.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,66,2026-09-10T12:54:54.000Z,4000,4000,97,14.25,14.95,true,0.87,true,ACCEPT,coherent-motion,0,4000,5.9,1.47,0,3.11,30.6,moving,,514fdef5,,,2026-09-10T12:54:54.130Z,33,130,57,,
qa-mtvixnmb-iim3w848,2026-09-10T12:54:58.100Z,2026-09-10T20:54:58.100+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,67,2026-09-10T12:54:58.000Z,4000,4000,100,14.25,14.11,true,0.55,true,ACCEPT,coherent-motion,0,4000,5.29,1.32,0,0.8,5.46,moving,,514fdef5,,,2026-09-10T12:54:58.141Z,41,141,58,,
qa-mtvixnmb-iim3w848,2026-09-10T12:55:03.103Z,2026-09-10T20:55:03.103+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,68,2026-09-10T12:55:03.000Z,5000,5000,103,14.25,13.52,true,0.52,true,ACCEPT,coherent-motion,0,5000,5.47,1.09,0,1.13,0.5,moving,,514fdef5,,,2026-09-10T12:55:03.139Z,36,139,59,,
qa-mtvixnmb-iim3w848,2026-09-10T12:55:07.097Z,2026-09-10T20:55:07.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,69,2026-09-10T12:55:07.000Z,4000,4000,97,14.25,13.96,true,1.34,true,ACCEPT,coherent-motion,0,4000,5.64,1.41,0,1.7,13.08,moving,,514fdef5,,,2026-09-10T12:55:07.140Z,43,140,60,,
